取引先番号,取引先名称,与信スコア,都道府県
CUS00002,○○○01株式会社,28,新潟県
CUS00003,○○○02株式会社,13,島根県
CUS00006,合同会社○○○03,4,福井県
CUS00010,合同会社○○○04,27,岐阜県
CUS00013,株式会社○○○05,27,山梨県
CUS00014,○○○06,1,島根県
CUS00016,○○○07,44,山形県
CUS00017,合同会社○○○08,9,山梨県
CUS00020,株式会社○○○09,7,福島県
CUS00024,株式会社○○○10,13,高知県
CUS00027,株式会社○○○11,16,福岡県
CUS00033,○○○12,26,高知県
CUS00038,○○○13株式会社,9,沖縄県
CUS00042,株式会社○○○14,15,富山県
CUS00050,○○○15株式会社,60,岡山県
CUS00054,○○○16,10,島根県
CUS00055,○○○17,48,京都府
CUS00060,○○○18,29,岩手県
CUS00061,株式会社○○○19,39,京都府
CUS00062,株式会社○○○20,57,大阪府
CUS00063,株式会社○○○21,7,茨城県
CUS00067,○○○22株式会社,33,佐賀県
CUS00068,株式会社○○○23,41,大分県
CUS00069,株式会社○○○24,24,宮崎県
CUS00076,○○○25株式会社,27,秋田県
CUS00082,○○○26株式会社,12,熊本県
CUS00083,○○○27,19,岩手県
CUS00091,株式会社○○○28,12,新潟県
CUS00092,○○○29,30,山口県
CUS00098,株式会社○○○30,12,宮崎県
CUS00103,○○○31株式会社,13,宮崎県
CUS00104,○○○32株式会社,7,三重県
CUS00108,○○○33株式会社,39,徳島県
CUS00109,株式会社○○○34,10,山梨県
CUS00118,○○○35株式会社,22,秋田県
CUS00122,株式会社○○○36,7,滋賀県
CUS00123,○○○37株式会社,32,山形県
CUS00124,株式会社○○○38,22,福井県
CUS00127,○○○39,7,岐阜県
CUS00130,株式会社○○○40,27,秋田県
CUS00131,株式会社○○○41,83,山口県
CUS00132,株式会社○○○42,68,奈良県
CUS00135,○○○43株式会社,33,岩手県
CUS00136,○○○44合同会社,8,茨城県
CUS00137,株式会社○○○45,9,大阪府
CUS00141,○○○46株式会社,74,高知県
CUS00143,株式会社○○○47,13,石川県
CUS00145,○○○48,99,静岡県
CUS00148,○○○49株式会社,25,宮城県
CUS00152,○○○50,9,鹿児島県
CUS00154,○○○51,1,大分県
